мне девятнадцать лет .	i m .
она привыкла выступать перед публикой .	she is used to speaking in public .
она очень гордится своей дочерью .	she is very proud of her daughter .
она села и закинула ногу за ногу .	she sat down and crossed her legs .
она закричала, увидев змею .	she screamed when she saw a snake .
она кажется низкой рядом со своей сестрой .	she seems short beside her sister .
она шьёт иголкой и ниткой .	she sews with a needle and thread .
она должна понести ответственность за убийство .	she should be charged with murder .
она кричала, но никто её не слышал .	she shouted, but nobody heard her .
она закричала, но никто её не услышал .	she shouted, but nobody heard her .
она с ним поговорила на эту тему .	she spoke to him about the matter .
она расстелила скатерть на столе .	she spread a cloth over the table .
она постелила на стол скатерть .	she spread a cloth over the table .
она в изумлении уставилась на него .	she stared at him in astonishment .
она помешала суп ложкой .	she stirred the soup with a spoon .
она украла у него кучу денег .	she stole a lot of money from him .
она учила японский после обеда .	she studied japanese after dinner .
она профессиональный фотограф .	she s a professional photographer .
она замечательная жена и мать .	she s a wonderful wife and mother .
она уже забыла про тебя .	she s already forgotten about you .
она уже забыла о вас .	she s already forgotten about you .
она волнуется за твою безопасность .	she s concerned about your safety .
она гребёт деньги лопатой .	she s making money hand over fist .
она замужем за моим двоюродным братом .	she s married to a cousin of mine .
она укладывает детей .	she s putting the children to bed .
она старше меня на три года .	she s three years older than i am .
она пытается перекрасить свой дом .	she s trying to repaint her house .
они приступают к выполнению домашнего задания .	they are beginning their homework .
это сказки для детей .	they are fairy tales for children .
они оттягиваются в гонолулу .	they are living it up in honolulu .
они не враги, а друзья .	they are not enemies, but friends .
они читают их газеты .	they are reading their newspapers .
они не плавают в реке .	they aren t swimming in the river .
они пытаются связаться с ней .	they re attempting to contact her .
они пытаются установить связь с ней .	they re attempting to contact her .
они собираются сделать это прямо сейчас .	they re going to do it right away .
они как одна большая счастливая семья .	they re like one big happy family .
на них дорогая одежда .	they re wearing expensive clothes .
они одеты в дорогую одежду .	they re wearing expensive clothes .
мы знакомы с его семьёй .	we are acquainted with his family .
мы против работы по воскресеньям .	we are against working on sundays .
нам всем не терпится посмотреть этот фильм .	we are all eager to see the movie .
мы беспокоимся за нашу планету .	we are concerned about our planet .
мы в какой то мере ответственны за это .	we are in part responsible for it .
сегодня вечером мы улетаем на гавайи .	we are leaving for hawaii tonight .
мы здесь не для игр и развлечений .	we are not here for fun and games .
мы не будем петь эту песню .	we aren t going to sing that song .
мы не собираемся петь эту песню .	we aren t going to sing that song .
мы ближе, чем когда либо .	we re closer than we ve ever been .
мы женимся следующей весной .	we re getting married next spring .
мы опоздаем в школу .	we re going to be late for school .
мы в школу опоздаем .	we re going to be late for school .
сегодня мы собираемся остаться дома .	we re going to stay at home today .
мы собираемся остаться до конца .	we re going to stay until the end .
сегодня вечером мы идём в кино .	we re going to the movies tonight .
мы направляемся в отделение полиции .	we re going to the police station .
у нас к ужину холодное мясо .	we re having cold cuts for supper .
мы надеемся на что то лучшее .	we re hoping for something better .
мы ищем, где остановиться .	we re looking for a place to stay .
мы с тобой не такие разные .	we re not so different, you and i .
мы с вами не такие разные .	we re not so different, you and i .
мы не единственные канадцы здесь .	we re not the only canadians here .
мы откладываем деньги, чтобы купить дом .	we re saving money to buy a house .
мы откладываем деньги на покупку дома .	we re saving money to buy a house .
мы копим деньги на покупку дома .	we re saving money to buy a house .
нас засыпали приглашениями .	we re snowed under by invitations .
мы извиняемся за неудобства .	we re sorry for the inconvenience .
мы всё ещё лучшие в мире .	we re still the best in the world .
мы всё ещё ждём ответа .	we re still waiting for an answer .
мы на три часа отстаём от графика .	we re three hours behind schedule .
мы в трёх часах езды от границы .	we re three hours from the border .
мы стараемся сократить расходы .	we re trying to cut down expenses .
мы очень благодарны тебе за помощь .	we re very grateful for your help .
вы имеете право на адвоката .	you are entitled to have a lawyer .
ты ждёшь от неё слишком многого .	you are expecting too much of her .
вы ведь с хоккайдо ?	you are from hokkaido, aren t you ?
ты ведь с хоккайдо ?	you are from hokkaido, aren t you ?
ты не умеешь плавать, не так ли ?	you are not able to swim, are you ?
вы виновник аварии .	you are to blame for the accident .
вы виноваты в аварии .	you are to blame for the accident .
ты слишком молод, чтобы путешествовать в одиночку .	you are too young to travel alone .
вы слишком молоды, чтобы путешествовать одному .	you are too young to travel alone .
вы слишком молоды, чтобы путешествовать одной .	you are too young to travel alone .
ты слишком молод, чтобы путешествовать одному .	you are too young to travel alone .
ты слишком молода, чтобы путешествовать одной .	you are too young to travel alone .
вы слишком молоды, чтобы путешествовать одним .	you are too young to travel alone .
ты французский знаешь лучше меня .	you re better at french than i am .
вы французский знаете лучше меня .	you re better at french than i am .
ты краснеешь, как школьница .	you re blushing like a schoolgirl .
тебя определённо нет в списке .	you re definitely not on the list .
ты волен говорить то, что думаешь .	you re free to say what you think .
ты будешь отличным отцом .	you re going to be a great father .
ты отлично проведёшь время .	you re going to have a great time .
вы отлично проведёте время .	you re going to have a great time .
вам придётся подождать здесь .	you re going to have to wait here .
тебе придётся подождать здесь .	you re going to have to wait here .
ты не замечаешь более важного .	you re missing the bigger picture .
ты не видишь ситуацию в целом .	you re missing the bigger picture .
здесь нельзя есть .	you re not allowed to eat in here .
тебя нелегко найти .	you re not an easy person to find .
ты не отвечаешь на вопрос .	you re not answering the question .
вы не отвечаете на вопрос .	you re not answering the question .
ты не так умён, как думаешь .	you re not as clever as you think .
ты не так умён, как считаешь .	you re not as clever as you think .
тебе еще не разрешали вставать из за стола .	you re not excused from the table .
ты больше не сделаешь мне больно .	you re not going to hurt me again .
ты тут не единственный канадец .	you re not the only canadian here .
вы тут не единственный канадец .	you re not the only canadian here .
вы тут не единственные канадцы .	you re not the only canadian here .
вы тут не единственные канадки .	you re not the only canadian here .
вы тут не единственная канадка .	you re not the only canadian here .
ты тут не единственная канадка .	you re not the only canadian here .
ты на самом деле хороший фотограф .	you re really a good photographer .
ты выглядишь действительно гораздо лучше .	you re really looking much better .
ты такая красивая в этом платье !	you re so beautiful in that dress .
вы такая красивая в этом платье !	you re so beautiful in that dress .
считается, что вы сами должны это сделать .	you re supposed to do it yourself .
ты принимаешь это слишком близко к сердцу .	you re taking this too personally .
вы последняя надежда человечества .	you re the last hope for humanity .
ты последняя надежда человечества .	you re the last hope for humanity .
ты единственный, о ком все мои думы .	you re the only one i think about .
ты единственная её купила .	you re the only one who bought it .
ты единственная его купила .	you re the only one who bought it .
ты единственный её купил .	you re the only one who bought it .
ты единственный его купил .	you re the only one who bought it .
ты самая красивая девушка в городе .	you re the prettiest girl in town .
ты самый умный из всех, кого я знаю .	you re the smartest person i know .
ты слишком молод, чтобы идти в армию .	you re too young to join the army .
вы слишком молоды, чтобы идти в армию .	you re too young to join the army .
тебе рано идти в армию .	you re too young to join the army .
вам рано идти в армию .	you re too young to join the army .
тебе рано в армию .	you re too young to join the army .
вам рано в армию .	you re too young to join the army .
он близкий друг моего брата .	he is a close friend of my brother .
он способен говорить на пяти языках .	he is able to speak five languages .
он боится летать на самолёте .	he is afraid to fly in an airplane .
он всё время ко мне придирается .	he is always finding fault with me .
он всегда смотрит в будущее .	he is always looking to the future .
он капитан футбольной команды .	he is captain of the football team .
он доволен простой жизнью .	he is content with the simple life .
он помолвлен с моей младшей сестрой .	he is engaged to my younger sister .
он не такой строгий, как наш учитель .	he is less strict than our teacher .
он безумно влюблён в эту девушку .	he is madly in love with that girl .
он вообще не интересуется искусством .	he is not interested in art at all .
он недостаточно взрослый, чтобы жить одному .	he is not old enough to live alone .
он беден, но никогда не жалуется .	he is poor, but he never complains .
он ответственен за несчастный случай .	he is responsible for the accident .
он иногда пропускает школу .	he is sometimes absent from school .
он должен быть сегодня дома .	he is supposed to be at home today .
сегодня он, по идее, должен быть дома .	he is supposed to be at home today .
он самый тупой ребёнок в классе .	he is the dumbest kid in the class .
он отец троих детей .	he is the father of three children .
он устал смотреть телевизор .	he is tired of watching television .
он ждёт телефонного звонка .	he is waiting for a telephone call .
он беспокоился из за потери работы .	he is worried about losing his job .
он почти всё время в больнице .	he s almost always in the hospital .
он подумывает стать моряком .	he s considering becoming a sailor .
он приспосабливается к ситуации .	he s getting used to the situation .
он не всегда дома по воскресеньям .	he s not always at home on sundays .
он стоит перед дверью .	he s standing in front of the door .
он паршивая овца в семье .	he s the black sheep of the family .
он председатель комитета .	he s the chairman of the committee .
он выше меня на три дюйма .	he s three inches taller than i am .
он старше её на три года .	he s three years older than she is .
я член бейсбольной команды .	i am a member of the baseball team .
я студент университета хёго .	i am a student at hyogo university .
боюсь, он совершит ошибку .	i am afraid he will make a mistake .
я боюсь, что ты заблудишься .	i am afraid that you will get lost .
я боюсь, что ты потеряешься .	i am afraid that you will get lost .
я боюсь, что вы заблудитесь .	i am afraid that you will get lost .
я боюсь, что вы потеряетесь .	i am afraid that you will get lost .
мне страшно перепрыгивать через ров .	i am afraid to jump over the ditch .
я убеждён, что он невиновен .	i am convinced that he is innocent .
я убеждён в его невиновности .	i am convinced that he is innocent .
я твёрдо решил бросить курить .	i am determined to give up smoking .
я сомневаюсь, что он придет .	i am doubtful whether he will come .
я счастлив тратить деньги на книги .	i am happy to spend money on books .
я его друг и останусь им .	i am his friend and will remain so .
я с нетерпением жду с тобой встречи .	i am looking forward to seeing you .
с нетерпением жду встречи с вами .	i am looking forward to seeing you .
я женат, и у меня есть дочь .	i am married and i have a daughter .
я замужем, и у меня есть дочь .	i am married and i have a daughter .
я женат, и у меня двое детей .	i am married and have two children .
я замужем, и у меня двое детей .	i am married and have two children .
это дело меня не касается .	i am not concerned with the affair .
мы с моей сестрой играем в игру .	i am playing a game with my sister .
я остаюсь еще на несколько недель .	i am staying for another few weeks .
я тренирую коня к скачкам .	i am training a horse for the race .
я тренирую лошадь к скачкам .	i am training a horse for the race .
я очень устал от тяжёлой работы .	i am very tired from the hard work .
я очень устала от тяжёлой работы .	i am very tired from the hard work .
я очень устал от тяжёлого труда .	i am very tired from the hard work .
я очень устала от тяжёлого труда .	i am very tired from the hard work .
я жду, когда откроется магазин .	i am waiting for the store to open .
я зеваю, потому что хочу спать .	i am yawning because i feel sleepy .
боюсь, я этого не понимаю .	i m afraid i don t understand that .
я начинаю чувствовать себя не в своей тарелке .	i m beginning to feel out of place .
я начинаю чувствовать себя довольно уверенно .	i m beginning to feel quite secure .
эта долгая поездка меня измучила .	i m exhausted after that long trip .
я жду гостей сегодня вечером .	i m expecting company this evening .
я до смерти боюсь пауков .	i m frightened to death of spiders .
я женюсь на ней в июне .	i m getting married to her in june .
это мне надоедает .	i m getting sick and tired of this .
я рад, что ничего плохого не случилось .	i m glad that nothing bad happened .
я рад, что дождь кончился .	i m glad that the rain has stopped .
я рад, что дождь перестал .	i m glad that the rain has stopped .
я рад, что мы делаем это вместе .	i m glad we re doing this together .
я собираюсь закончить то, что начал .	i m going to finish what i started .
я собираюсь закончить начатое .	i m going to finish what i started .
я собираюсь попасть туда до темноты .	i m going to get there before dark .
я собираюсь пройти обследование глаз .	i m going to have my eyes examined .
я собираюсь расследовать этот случай .	i m going to investigate this case .
я собираюсь уехать на одну ночь раньше .	i m going to leave one night early .
я собираюсь брать уроки плавания .	i m going to take swimming lessons .
я собираюсь дать тебе немного уроков карате .	i m going to teach you some karate .
по понедельникам меня почти не бывает дома .	i m hardly ever at home on mondays .
я голоден, потому что не ел .	i m hungry because i haven t eaten .
я с нетерпением жду прихода весны .	i m impatient for spring to arrive .
я интересуюсь восточной керамикой .	i m interested in oriental pottery .
жду его подарка с нетерпением .	i m looking forward to his present .
я с нетерпением жду встречи с вами .	i m looking forward to meeting you .
я с нетерпением жду следующего лета .	i m looking forward to next summer .
я с нетерпением жду этого концерта .	i m looking forward to the concert .
я никогда не перестану тебя любить .	i m never going to stop loving you .
я никогда этого не пойму .	i m never going to understand this .
я больше никогда не возьму тебя на рыбалку .	i m never taking you fishing again .
я не очень хорошо говорю по французски .	i m not a very good french speaker .
я не против того, чтобы люди владели оружием .	i m not against people owning guns .
мне нельзя говорить об этом .	i m not allowed to talk about that .
я не всегда занят по утрам .	i m not always busy in the morning .
я не прошу тебя что нибудь сказать .	i m not asking you to say anything .
я не прошу вас что нибудь сказать .	i m not asking you to say anything .
подробности меня не интересуют .	i m not concerned with the details .
я больше не буду бояться .	i m not going to be afraid anymore .
я не собираюсь тебе ничего говорить .	i m not going to tell you anything .
меня не интересуют ваши оправдания .	i m not interested in your excuses .
твоё мнение меня не интересует .	i m not interested in your opinion .
ваше мнение меня не интересует .	i m not interested in your opinion .
я не ищу отношений .	i m not looking for a relationship .
я не собираюсь работать в понедельник .	i m not planning to work on monday .
я не удовлетворён результатами .	i m not satisfied with the results .
не уверен, что разделяю ваш оптимизм .	i m not sure i share your optimism .
не уверен, что разделяю твой оптимизм .	i m not sure i share your optimism .
я не силён в сочинении песен .	i m not that good at writing songs .
я не сильна в сочинении песен .	i m not that good at writing songs .
я не привык говорить публично .	i m not used to speaking in public .
я не очень хороший советчик .	i m not very good at giving advice .
я не очень то умею давать советы .	i m not very good at giving advice .
я не очень привередлив в еде .	i m not very particular about food .
я не очень привередлива в еде .	i m not very particular about food .
я читаю книгу о языках .	i m reading a book about languages .
я буду очень скучать по австралии .	i m really going to miss australia .
я в самом деле тот ещё гитарист .	i m really not much of a guitarist .
на самом деле, гитарист из меня тот ещё .	i m really not much of a guitarist .
я действительно не очень хорошо знаю французский .	i m really not very good at french .
я очень боюсь грозы .	i m really scared of thunderstorms .
я несу ответственность за собственные поступки .	i m responsible for my own actions .
мне надоело одиночество .	i m sick and tired of being lonely .
я сыт по горло одиночеством .	i m sick and tired of being lonely .
я сыта по горло одиночеством .	i m sick and tired of being lonely .
прости, что заставил тебя вчера плакать .	i m sorry i made you cry yesterday .
я сожалею, что беспокою вас так поздно .	i m sorry to disturb you this late .
извините, что заставил вас ждать .	i m sorry to have kept you waiting .
мне жаль, что заставил вас ждать .	i m sorry to have kept you waiting .
мне жаль, что заставила вас ждать .	i m sorry to have kept you waiting .
простите, что то не припоминаю .	i m sorry, i don t really remember .
извините, это частная вечеринка .	i m sorry, this is a private party .
я начинаю скучать по своей девушке .	i m starting to miss my girlfriend .
я всё ещё жду, когда это случится .	i m still waiting for it to happen .
я всё ещё жду, когда это произойдёт .	i m still waiting for it to happen .
я изучаю французский и веб дизайн .	i m studying french and web design .
сегодня я должен быть в школе .	i m supposed to be at school today .
я уверен, что откуда то его знаю .	i m sure i know him from somewhere .
я уверен, что теперь всё будет хорошо .	i m sure everything will be ok now .
уверен, нам будет здесь удобно .	i m sure we ll be comfortable here .
уверен, что твои намерения были хорошими .	i m sure your intentions were good .
я уверен, что у вас были добрые намерения .	i m sure your intentions were good .
я уверена, что у вас были благие намерения .	i m sure your intentions were good .
я уверен, что у вас были благие намерения .	i m sure your intentions were good .
я уверена, что у тебя были благие намерения .	i m sure your intentions were good .
я уверен, что у тебя были благие намерения .	i m sure your intentions were good .
я уверена, что у вас были добрые намерения .	i m sure your intentions were good .
я уверен, что у тебя были добрые намерения .	i m sure your intentions were good .
я уверена, что у тебя были добрые намерения .	i m sure your intentions were good .
меня удивляет твоя наивность .	i m surprised that you re so naive .
удивительно, что ты этого не знал .	i m surprised you didn t know that .
удивительно, что вы этого не знали .	i m surprised you didn t know that .
я тот, кто украл картину .	i m the one who stole the painting .
это я украл картину .	i m the one who stole the painting .
картину украл я .	i m the one who stole the painting .
я подумываю о том, чтобы съездить в австралию .	i m thinking of going to australia .
я думаю поужинать в пять .	i m thinking of having dinner at .
я подумываю о том, чтобы открыть магазин .	i m thinking of opening up a store .
я на три года старше тебя .	i m three years older than you are .
я на три года моложе его .	i m three years younger than he is .
мне надоело тут стоять и ждать .	i m tired of standing here waiting .
я устал от твоего бесконечного хвастовства .	i m tired of your endless bragging .
я стараюсь не думать об этом .	i m trying not to think about that .
я стараюсь об этом не думать .	i m trying not to think about that .
я пытаюсь кое что понять .	i m trying to figure out something .
я пытаюсь вернуть моих детей .	i m trying to get my children back .
я не могу ответить на этот вопрос .	i m unable to answer that question .
я привык ходить на большие расстояния .	i m used to walking long distances .
по вечерам я обычно дома .	i m usually at home in the evening .
вечером я обычно дома .	i m usually at home in the evening .
я очень хорошо играю на пианино .	i m very good at playing the piano .
я очень благодарен вам за поддержку .	i m very grateful for your support .
я очень благодарен тебе за поддержку .	i m very grateful for your support .
мне очень приятно встретиться с вами сегодня .	i m very pleased to meet you today .
я очень сожалею о том, что произошло .	i m very sorry about what happened .
я очень обеспокоен вашим здоровьем .	i m very worried about your health .
я жду, когда все уйдут .	i m waiting for everybody to leave .
я жду, чтобы все ушли .	i m waiting for everybody to leave .
я жду его звонка .	i m waiting for his telephone call .
я жду, когда он позвонит .	i m waiting for his telephone call .
я жду, что мне кто нибудь поможет .	i m waiting for someone to help me .
я переживаю из за результатов экзамена .	i m worried about the exam results .
я беспокоюсь, как бы меня не уволили .	i m worried that i might get fired .
она может разговаривать на десяти языках .	she is able to speak ten languages .
она всегда весела и улыбается .	she is always cheerful and smiling .
она числится среди пропавших без вести .	she is among those unaccounted for .
она моя старая знакомая .	she is an old acquaintance of mine .
она начинает играть на пианино .	she is beginning to play the piano .
она занята подготовкой к поездке .	she is busy preparing for the trip .
она может обучать английскому .	she is capable of teaching english .
она связана с той компанией .	she is connected with that company .
она собирается научиться водить машину .	she is going to learn how to drive .
она учится водить машину .	she is learning how to drive a car .
она на три года старше меня .	she is three years older than i am .
она старше меня на три года .	she is three years older than i am .
она слишком мала, чтобы знать правду .	she is too young to know the truth .
ей рано знать правду .	she is too young to know the truth .
она очень чувствительна к критике .	she is very sensitive to criticism .
она, кажется, становится всё толще и толще .	she seems to get fatter and fatter .
кажется, она понимает, о чем я говорю .	she seems to understand what i say .
он записался на курс испанского .	she signed up for a spanish course .
она в некоторой степени говорит на японском .	she speaks japanese to some extent .
она тратит много денег на книги .	she spends a lot of money on books .
она намазала хлеб маслом .	she spread the butter on the bread .
она пробыла там недолго .	she stayed there for a short while .
утром она учила английский .	she studied english in the morning .
она девушка умная и самостоятельная .	she s a smart and independent girl .
она примерно твоего роста .	she s about the same height as you .
она боится снова заболеть .	she s afraid of getting sick again .
она постоянно ко мне придирается .	she s always finding fault with me .
она на пять лет моложе меня .	she s five years younger than i am .
она даёт каждому ребёнку два яблока .	she s giving each child two apples .
она хорошо разбирается в картинах .	she s got a good eye for paintings .
она не симпатичнее своей матери .	she s not prettier than her mother .
она упорно трудились, чтобы откладывать деньги .	she s worked hard to save up money .
им известны сложности .	they are aware of the difficulties .
они разочарованы в своем сыне .	they are disappointed in their son .
они сталкиваются с финансовыми проблемами .	they are facing financial problems .
они собираются запустить ракету .	they are going to send up a rocket .
они загружают нефть на корабль .	they are loading oil into the ship .
они не очень друг другу подходят .	they are not a well matched couple .
они замышляют убить короля .	they are plotting to kill the king .
они пытаются снизить затраты .	they are trying to keep costs down .
они пытаются уменьшить затраты .	they are trying to keep costs down .
они пытаются снизить расходы .	they are trying to keep costs down .
они пытаются понизить расходы .	they are trying to keep costs down .
они пытаются сократить издержки .	they are trying to keep costs down .
они пытаются снизить издержки .	they are trying to keep costs down .
они на минут отстают от графика .	they re minutes behind schedule .
мы все жаждем знать правду .	we are all eager to know the truth .
мы беспокоимся о вашем здоровье .	we are concerned about your health .
мы извиняемся за неудобства .	we are sorry for the inconvenience .
мы в трёх часах езды от сан паулу .	we are three hours from s o paulo .
мы не в состоянии себя защитить .	we aren t able to defend ourselves .
мы не дадим этому случиться .	we aren t going to let that happen .
мы этого не допустим .	we aren t going to let that happen .
с нас хватит твоих жалоб .	we re fed up with your complaining .
мы идём в правильном направлении .	we re going in the right direction .
в следующие выходные мы едем в бостон .	we re going to boston next weekend .
мы собираемся сделать это следующей весной .	we re going to do that next spring .
нам надо будет это проверить .	we re going to have to verify this .
нам придётся это проверить .	we re going to have to verify this .
мы благодарны вам за содействие .	we re grateful for your assistance .
мы благодарны тебе за помощь .	we re grateful for your assistance .
мы благодарны вам за помощь .	we re grateful for your assistance .
мы благодарны тебе за содействие .	we re grateful for your assistance .
у нас тусовка в следующую субботу .	we re having a party next saturday .
нас интересуют только факты .	we re interested only in the facts .
мы уезжаем из австралии в следующем месяце .	we re leaving australia next month .
мы ищем одного нашего друга .	we re looking for a friend of ours .
мы ни в чём тебя не обвиняем .	we re not accusing you of anything .
мы ни в чём вас не обвиняем .	we re not accusing you of anything .
прямо сейчас мы ничего не делаем .	we re not doing anything right now .
прямо сейчас мы ничем не занимаемся .	we re not doing anything right now .
мы точно не знаем, что это было .	we re not exactly sure what it was .
мы не собираемся ничего менять .	we re not going to change anything .
мы больше не будем этого делать .	we re not going to do this anymore .
мы не собираемся больше этого делать .	we re not going to do this anymore .
мы не дадим этому случиться .	we re not going to let that happen .
мы этого не допустим .	we re not going to let that happen .
мы вряд ли будем этим ещё пользоваться .	we re not likely to use this again .
мы не уверены, что сможем прийти вечером .	we re not sure we can come tonight .
мы вполне довольны результатами .	we re quite happy with the results .
мы действительно с нетерпением этого ждём .	we re really looking forward to it .
мы остановились в другой гостинице .	we re staying in a different hotel .
мы уверены, что это был несчастный случай .	we re sure that it was an accident .
мы очень довольны результатом .	we re very pleased with the result .
мы ждём, когда откроется магазин .	we re waiting for the shop to open .
ты волен говорить то, что думаешь .	you are free to say what you think .
ты частично за это ответственен .	you are in part responsible for it .
частично за это ответственны вы .	you are in part responsible for it .
частично за это отвечаешь ты .	you are in part responsible for it .
частично за это отвечаете вы .	you are in part responsible for it .
ты глупее, чем я думал .	you are more stupid than i thought .
сейчас ты на пути к выздоровлению .	you are now on the way to recovery .
сейчас ты идёшь на поправку .	you are now on the way to recovery .
ты несёшь ответственность за результат .	you are responsible for the result .
ты очень хороший футболист .	you re a very good football player .
вы очень хороший футболист .	you re a very good football player .
ты очень хорошо играешь в футбол .	you re a very good football player .
вы очень хорошо играете в футбол .	you re a very good football player .
ты совершенно в этом прав .	you re absolutely right about that .
вы совершенно в этом правы .	you re absolutely right about that .
ты боишься спать, не правда ли ?	you re afraid to sleep, aren t you ?
вы боитесь спать, не правда ли ?	you re afraid to sleep, aren t you ?
ты очень строг к себе .	you re being very hard on yourself .
вы очень строги к себе .	you re being very hard on yourself .
опять начинаешь старую песню .	you re giving me the same old line .
всё та же старая песня !	you re giving me the same old line .
опять завёл старую песню .	you re giving me the same old line .
опять завела старую песню .	you re giving me the same old line .
в школу опоздаешь .	you re going to be late for school .
в школу опоздаете .	you re going to be late for school .
из за тебя мы обе погибнем .	you re going to get us both killed .
тебе понадобится лодка побольше .	you re going to need a bigger boat .
вам понадобится лодка побольше .	you re going to need a bigger boat .
ты популярнее, чем думаешь .	you re more popular than you think .
ты гораздо симпатичнее, чем твоя сестра .	you re much cuter than your sister .
ты в этих местах недавно, не так ли ?	you re new around here, aren t you ?
ты ведь не ветеринар ?	you re not a veterinarian, are you ?
вы ведь не ветеринар ?	you re not a veterinarian, are you ?
ты не собираешься спать, не так ли ?	you re not going to sleep, are you ?
вам, наверное, интересно знать, кто я .	you re probably wondering who i am .
тебе, наверное, интересно, кто я .	you re probably wondering who i am .
ты до смерти напуган, не так ли ?	you re scared to death, aren t you ?
ты сидишь слишком близко к телевизору .	you re sitting too close to the tv .
ты ведь по прежнему учитель ?	you re still a teacher, aren t you ?
вы ведь по прежнему учитель ?	you re still a teacher, aren t you ?
ты единственный человек, которому я могу доверять .	you re the only person i can trust .
ты единственный, кого я тут знаю .	you re the only person i know here .
вы единственный, кого я тут знаю .	you re the only person i know here .
ты единственная, кого я тут знаю .	you re the only person i know here .
вы единственная, кого я тут знаю .	you re the only person i know here .
ты на три года моложе меня .	you re three years younger than me .
вы на три года моложе меня .	you re three years younger than me .
сегодня вечером ты необычайно разговорчив .	you re unusually talkative tonight .
ты чем то занят, не так ли ?	you re up to something, aren t you ?
ты чем то занята, не так ли ?	you re up to something, aren t you ?
он боится рака лёгких .	he is afraid of getting lung cancer .
он боится, что у него будет рак лёгких .	he is afraid of getting lung cancer .
он всегда готов помочь другим .	he is always willing to help others .
он на такое способен .	he is capable of doing such a thing .
он даже собственной тени боится .	he is even afraid of his own shadow .
он менее терпелив, чем его брат .	he is less patient than his brother .
он не политик, а адвокат .	he is not a politician but a lawyer .
он на восемь лет старше тебя .	he is older than you by eight years .
он гордится тем, что выиграл приз .	he is proud of having won the prize .
он достаточно богат, чтобы содержать горничную .	he is rich enough to keep a servant .
он страдает от амнезии .	he is suffering from loss of memory .
он паршивая овца в семье .	he is the black sheep of the family .
он является подходящим человеком для этой работы .	he is the proper person for the job .
он то, что мы называем музыкальным гением .	he is what we call a musical genius .
он здесь пытается устроить неприятности .	he s here trying to stir up trouble .
он интересуется пророчествами майя .	he s interested in mayan prophecies .
